Population	prediction
UK	Dane_1	967.8367581237748
UK	Dane_1	967.9636438804764
UK	Dane_1	969.6640675940084
UK	Dane_1	970.8795331738336
UK	Dane_1	971.1463725812829
UK	Dane_1	969.1532580596961
UK	Dane_1	964.2655537516106
UK	Dane_1	967.5965757228444
UK	Dane_1	969.8223588964844
Underberg_KZN_RSA	Andilambe_Madagascar_0	2427.0323648768112
Valayar	Gujarati_1	1875.6739976653196
Vanuatu	Nasioi_Bougainville_0	1928.696180008339
Vanuatu	Nasioi_Bougainville_0	1928.6663564300784
Vanuatu	Antananarivo_Madagascar_0	10686.455973023858
Vanuatu	Antananarivo_Madagascar_0	12368.031251597919
Vanuatu	Antananarivo_Madagascar_0	12223.27082974056
Vanuatu	Antananarivo_Madagascar_0	12366.458174796902
Vanuatu	Antananarivo_Madagascar_0	12368.37332519142
Vanuatu	Antananarivo_Madagascar_0	12326.837052508696
Vanuatu	Antananarivo_Madagascar_0	12282.962185701495
Vietnamese	Chinese_1	2952.0020359920986
Vietnamese	Chinese_1	2952.0037499397718
Vietnamese	Chinese_1	2952.003671502773
Vietnamese	Chinese_1	2952.0037339204514
Vietnamese	Chinese_1	2952.0007026095013
Vietnamese	Chinese_1	2952.00374205345
Vietnamese	Chinese_1	2952.003628343864
Vietnamese	Chinese_1	2952.0032790037235
Vietnamese	Chinese_1	2951.9997529359916
Vietnamese	Chinese_1	2952.0037487278146
Vietnamese	Chinese_1	2952.0036656489015
Witdraai_Northern_Cape_RSA	Schmidtsdrift_Northern_Cape_RSA_0	2952.0036656489015
Yoruba	Hereroland_Namibia_2	3643.739959803044
Yoruba	Hereroland_Namibia_2	3642.146290767412
Yoruba	Hereroland_Namibia_2	3642.9042133126627
Yoruba	Hereroland_Namibia_2	3664.567376796696
Yoruba	Hereroland_Namibia_2	3646.9994615691935
Yoruba	Hereroland_Namibia_2	3642.1745897458527
Yoruba	Hereroland_Namibia_2	3647.977713192089
Yoruba	Hereroland_Namibia_2	3707.6635209969863
Yoruba	Hereroland_Namibia_2	3645.2862216934914
Yoruba	Hereroland_Namibia_2	3662.1431238916375
Yoruba	Hereroland_Namibia_2	3642.2040771211337
